DATETIME,MEASURE:Units,MEASURE:Royalty Price,MEASURE:Customer Price,Vendor Identifier,Artist / Show,Title,Label/Studio/Network,Product Type Identifier,Order Id,Postal Code,Customer Identifier,Sale/Return,Customer Currency,Country Code,Royalty Currency,Asset/Content Flavor
9/29/13,1,3.49,4.99,0148_20121205_MOBZ_OSOMAOREDOR,"W.J. Solha,Maeve Jinkings,Lula Terra,Irma Brown,Irandhir Santos,Gustavo Jahn",Neighbouring Sounds,Cinemascﾌ_pio,D,2.60025E+13,51020-041,6850878989,S,USD,BR,USD,HD
9/28/13,1,1.39,1.99,0047_20120702_MOBZ_FAUSTO,"Johannes Zeiler,Isolda Dychauk,Georg Friedrich,Florian Brﾌ_ckner,Anton Adasinskiy",Fausto,Proline Film,D,8.90014E+13,06542-010,6138693214,S,USD,BR,USD,SD
9/24/13,1,3.49,4.99,0211_20132108_SOFA_ALEMDAESTRADA,"Naomi Campbell,Jill Mulleady,Guilhermina Guinle,Esteban Feune de Colombi",Alﾌｩm da Estrada,Waking Up Films,D,9.20008E+13,0,7190824879,S,USD,CO,USD,HD
9/23/13,1,5.6,7.99,0153_20130110_MOBZ_AMOUR,"William Shimell,Jean-Louis Tritignant,Isabelle Huppert,Emmanuelle Riva,Alexandre Tharaud",Amor,Les Films du Losange,M,7.80009E+13,41810-670,8297484884,S,USD,BR,USD,SD
9/28/13,1,1.39,1.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,8.30018E+13,70387-100,2104736234,S,USD,BR,USD,SD
9/28/13,1,2.79,3.99,0195_20130705_SOFA_HOJE,"Pedro Abhull,Lorena Lobato,Joﾌ｣o Baldasserini,Denise Fraga,Cﾌｩsar Troncoso,Claudia Assunﾌ､ﾌ｣o",Hoje,Tangerina Entretenimento,D,3.20024E+13,29310-270,2809347254,S,USD,BR,USD,SD
9/24/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,6.60023E+13,$,1400729104,S,USD,CO,USD,HD
9/24/13,1,1.39,1.99,0153_20130110_MOBZ_AMOUR,"William Shimell,Jean-Louis Tritignant,Isabelle Huppert,Emmanuelle Riva,Alexandre Tharaud",Amor,Les Films du Losange,D,9.00014E+13,04016-003,2809627409,S,USD,BR,USD,SD
9/28/13,1,2.09,2.99,0153_20130110_MOBZ_AMOUR,"William Shimell,Jean-Louis Tritignant,Isabelle Huppert,Emmanuelle Riva,Alexandre Tharaud",Amor,Les Films du Losange,D,8.00023E+13,22451-070,2167165724,S,USD,BR,USD,HD
9/28/13,1,3.49,4.99,0189_20130705_SOFA_APARTEDOSANJOS,"William Ruane,Paul Brannigan,John Henshaw,Jasmin Riggins,Gary Maitland",A Parte dos Anjos,Entertainment One,D,7.20017E+13,22451-170,5974243559,S,USD,BR,USD,HD
9/28/13,1,28,40,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,1.12001E+14,72380,7148938594,S,MXN,MX,MXN,SD
9/29/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,6.10027E+13,1,5112942494,S,USD,PA,USD,HD
9/29/13,1,1.39,1.99,0211_20132108_SOFA_ALEMDAESTRADA,"Naomi Campbell,Jill Mulleady,Guilhermina Guinle,Esteban Feune de Colombi",Alﾌｩm da Estrada,Waking Up Films,D,8.00023E+13,01417-020,5378149324,S,USD,BR,USD,SD
9/26/13,1,2.09,2.99,0150_20121218_MOBZ_BOCA,"Paulo Cﾌｩsar Perﾌｩio,Milhem Cortaz,Leandra Leal,Hermila Guedes,Daniel de Oliveira",Boca,Kinoscﾌ_pio,D,6.40025E+13,31330-100,5353790404,S,USD,BR,USD,HD
